CRID,OfficerID,Allegation,Finding,Outcome,Beat,IncidentDate,StartDate,EndDate,InvestigatorRank,officer_gender,officer_race,officer_appt_date,officer_rank_order,officer_age,witness_gender,witness_race,geo_id,physical_violence,injury,weapon,on_duty,officer_white,witness_white,officer_male,witness_male,officer_cmp_count,incident_year
1073326,18560,Unnecessary Display Of Weapon / Off Duty,No Affidavit,No Action Taken,621.0,2015-01-01,2015-01-12,2015-09-14,,M,White,2006-05-22 00:00:00,1.0,46.0,,,1400000US17031842400,0,0,1,0,1,0,1,0,0,2015
1073326,24186,Unnecessary Display Of Weapon / Off Duty,No Affidavit,No Action Taken,621.0,2015-01-01,2015-01-12,2015-09-14,,M,White,2010-09-01 00:00:00,1.0,38.0,,,1400000US17031842400,0,0,1,0,1,0,1,0,0,2015
1073326,18571,Unnecessary Display Of Weapon / Off Duty,No Affidavit,No Action Taken,621.0,2015-01-01,2015-01-12,2015-09-14,,M,White,2010-09-01 00:00:00,1.0,39.0,,,1400000US17031842400,0,0,1,0,1,0,1,0,0,2015
1073326,32099,Unnecessary Display Of Weapon / Off Duty,No Affidavit,No Action Taken,621.0,2015-01-01,2015-01-12,2015-09-14,,M,Hispanic,2009-12-16 00:00:00,1.0,50.0,,,1400000US17031842400,0,0,1,0,0,0,1,0,0,2015
1073326,14476,Unnecessary Display Of Weapon / Off Duty,No Affidavit,No Action Taken,621.0,2015-01-01,2015-01-12,2015-09-14,,M,White,2005-08-29 00:00:00,2.0,39.0,,,1400000US17031842400,0,0,1,0,1,0,1,0,0,2015
1073326,21325,Unnecessary Display Of Weapon / Off Duty,No Affidavit,No Action Taken,621.0,2015-01-01,2015-01-12,2015-09-14,,M,White,2001-06-25 00:00:00,1.0,45.0,,,1400000US17031842400,0,0,1,0,1,0,1,0,0,2015
1073326,30519,Unnecessary Display Of Weapon / Off Duty,No Affidavit,No Action Taken,621.0,2015-01-01,2015-01-12,2015-09-14,,M,White,2003-02-24 00:00:00,1.0,44.0,,,1400000US17031842400,0,0,1,0,1,0,1,0,0,2015
1073214,7936,Excessive Force / On Duty - No Injury,Not Sustained,No Action Taken,313.0,2015-01-03,2015-01-03,2015-04-16,,F,Black,2012-12-14 00:00:00,1.0,46.0,M,Black,1400000US17031420400,0,0,0,1,0,0,0,1,0,2015
1073237,24563,Excessive Force / On Duty - No Injury,Unfounded,No Action Taken,1112.0,2015-01-03,2015-01-05,2015-09-09,,M,Hispanic,2003-09-29 00:00:00,1.0,52.0,M,White,1400000US17031231200,0,0,0,1,0,1,1,1,0,2015
1073237,17217,Excessive Force / On Duty - No Injury,Unfounded,No Action Taken,1112.0,2015-01-03,2015-01-05,2015-09-09,,M,Hispanic,2003-08-25 00:00:00,1.0,42.0,M,White,1400000US17031231200,0,0,0,1,0,1,1,1,0,2015
1073323,21448,Excessive Force / On Duty - Injury,Unfounded,No Action Taken,932.0,2015-01-03,2015-01-12,2015-06-18,,M,Hispanic,1994-09-06 00:00:00,1.0,54.0,M,Black,1400000US17031611700,0,1,0,1,0,0,1,1,0,2015
1073267,23783,Excessive Force / On Duty - No Injury,Not Sustained,No Action Taken,1112.0,2015-01-07,2015-01-07,2015-04-23,,M,Hispanic,1994-09-06 00:00:00,1.0,65.0,F,Black,1400000US17031231500,0,0,0,1,0,0,1,0,0,2015
1073778,25032,Excessive Force - Use Of Firearm / Off Duty - No Injury,No Affidavit,No Action Taken,423.0,2015-01-09,2015-02-03,2015-05-19,,M,White,2012-10-05 00:00:00,1.0,38.0,M,Black,1400000US17031460400,0,0,1,0,1,0,1,1,0,2015
1073331,19385,Unnecessary Physical Contact / Off Duty - No Injury,Sustained,Separation,935.0,2015-01-09,2015-01-12,2015-07-23,,M,Hispanic,2013-11-25 00:00:00,1.0,41.0,M,White,1400000US17031835600,1,0,0,0,0,1,1,1,0,2015
1073726,14678,Unnecessary Physical Contact / On Duty - No Injury,Unfounded,No Action Taken,113.0,2015-01-09,2015-02-09,2016-03-10,,M,Black,1997-07-07 00:00:00,1.0,61.0,F,Black,1400000US17031839100,1,0,0,1,0,0,1,0,0,2015
1073344,3897,Excessive Force / On Duty - Injury,Not Sustained,Unknown,823.0,2015-01-12,2015-01-13,2018-04-13,,M,White,1995-06-05 00:00:00,1.0,51.0,M,Black,1400000US17031660400,0,1,0,1,1,0,1,1,0,2015
1075381,13079,Excessive Force - Use Of Firearm / Off Duty - No Injury,Sustained,Violation Noted,2432.0,2015-01-12,2015-05-28,2015-11-03,,F,Black,1991-01-30 00:00:00,2.0,57.0,M,White,1400000US17031830600,0,0,1,0,0,1,0,1,0,2015
1073344,30515,Excessive Force / On Duty - Injury,Exonerated,Unknown,823.0,2015-01-12,2015-01-13,2018-04-13,,M,White,2007-04-30 00:00:00,1.0,38.0,M,Black,1400000US17031660400,0,1,0,1,1,0,1,1,0,2015
1073884,5096,Excessive Force / On Duty - Injury,Unfounded,No Action Taken,1513.0,2015-01-13,2015-02-23,2016-02-11,,M,White,1994-10-03 00:00:00,1.0,54.0,F,Black,1400000US17031252101,0,1,0,1,1,0,1,0,0,2015
1073884,16093,Excessive Force / On Duty - Injury,Unfounded,No Action Taken,1513.0,2015-01-13,2015-02-23,2016-02-11,,M,White,2003-04-28 00:00:00,1.0,41.0,F,Black,1400000US17031252101,0,1,0,1,1,0,1,0,0,2015
1073953,34,Taser (Probe Discharge),No Affidavit,Unknown,1122.0,2015-01-13,2015-02-27,2015-05-19,,M,Black,1998-06-29 00:00:00,1.0,48.0,F,Black,,0,0,1,0,0,0,1,0,0,2015
1073350,27509,Excessive Force / On Duty - No Injury,Unfounded,No Action Taken,831.0,2015-01-13,2015-01-14,2015-09-08,,M,White,2002-10-28 00:00:00,1.0,49.0,M,Black,1400000US17031660900,0,0,0,1,1,0,1,1,0,2015
1073350,28109,Excessive Force / On Duty - No Injury,Unfounded,No Action Taken,831.0,2015-01-13,2015-01-14,2015-09-08,,M,White,2006-10-30 00:00:00,1.0,38.0,M,Black,1400000US17031660900,0,0,0,1,1,0,1,1,0,2015
1073360,17991,Excessive Force / On Duty - Injury,No Affidavit,No Action Taken,1135.0,2015-01-14,2015-01-14,2015-11-03,,M,Black,1991-01-30 00:00:00,1.0,58.0,F,Black,1400000US17031271800,0,1,0,1,0,0,1,0,0,2015
1073369,31853,Excessive Force / On Duty - No Injury,Not Sustained,No Action Taken,934.0,2015-01-14,2015-01-15,2015-11-04,,M,White,2006-02-21 00:00:00,1.0,39.0,M,Black,1400000US17031612000,0,0,0,1,1,0,1,1,0,2015
