geo_id,police_stations,fire_stations,public_schools,parks,commercial_establishments,number_of_police_killings,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON - CRIMINAL,NON-CRIMINAL,NON-CRIMINAL (SUBJECT SPECIFIED),OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION
1400000US17031010100,1,1,14,14,24.0,0.0,3.0,204.0,643.0,120.0,0.0,17.0,604.0,3.0,82.0,112.0,2.0,8.0,1.0,17.0,0.0,0.0,1.0,46.0,167.0,,0.0,,4.0,33.0,0.0,198.0,0.0,0.0,18.0,84.0,8.0,3.0,467.0,43.0
1400000US17031010201,1,3,17,18,30.0,0.0,2.0,189.0,459.0,115.0,0.0,11.0,312.0,0.0,70.0,96.0,1.0,1.0,0.0,9.0,1.0,0.0,0.0,82.0,50.0,,1.0,,1.0,24.0,0.0,138.0,0.0,0.0,8.0,70.0,15.0,0.0,431.0,18.0
1400000US17031010202,1,3,16,18,58.0,0.0,1.0,178.0,386.0,50.0,0.0,12.0,189.0,2.0,145.0,104.0,0.0,4.0,0.0,9.0,0.0,2.0,5.0,54.0,48.0,,0.0,,0.0,9.0,0.0,76.0,0.0,0.0,6.0,94.0,15.0,2.0,786.0,14.0
1400000US17031010300,1,2,15,17,71.0,0.0,4.0,118.0,388.0,112.0,0.0,25.0,191.0,4.0,52.0,116.0,0.0,5.0,0.0,6.0,2.0,0.0,0.0,50.0,33.0,,0.0,,0.0,13.0,0.0,129.0,0.0,1.0,3.0,73.0,20.0,4.0,534.0,6.0
1400000US17031010400,1,2,17,12,41.0,0.0,0.0,86.0,261.0,66.0,1.0,12.0,111.0,2.0,59.0,139.0,0.0,3.0,0.0,4.0,0.0,0.0,1.0,35.0,32.0,,0.0,,0.0,5.0,0.0,97.0,0.0,0.0,5.0,40.0,10.0,2.0,390.0,10.0
1400000US17031010501,1,2,17,20,22.0,0.0,0.0,50.0,157.0,43.0,0.0,10.0,79.0,2.0,22.0,62.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,33.0,17.0,,0.0,,1.0,7.0,0.0,54.0,0.0,0.0,1.0,41.0,7.0,0.0,286.0,10.0
1400000US17031010502,1,3,18,17,30.0,0.0,0.0,30.0,93.0,31.0,0.0,4.0,54.0,1.0,9.0,53.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,21.0,15.0,,0.0,,0.0,3.0,0.0,42.0,0.0,0.0,4.0,24.0,8.0,0.0,188.0,3.0
1400000US17031010503,1,3,20,14,42.0,0.0,0.0,48.0,113.0,27.0,0.0,3.0,72.0,1.0,53.0,61.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,18.0,6.0,,0.0,,1.0,0.0,0.0,29.0,0.0,0.0,4.0,39.0,7.0,0.0,260.0,3.0
1400000US17031010600,1,3,20,19,72.0,0.0,0.0,131.0,349.0,109.0,0.0,8.0,248.0,7.0,54.0,106.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,67.0,36.0,,0.0,,0.0,10.0,1.0,116.0,0.0,0.0,10.0,72.0,8.0,1.0,473.0,16.0
1400000US17031010701,1,3,21,20,4.0,0.0,0.0,29.0,96.0,61.0,0.0,3.0,124.0,0.0,14.0,52.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,39.0,11.0,,0.0,,1.0,3.0,0.0,51.0,2.0,0.0,2.0,23.0,3.0,2.0,171.0,4.0
1400000US17031010702,1,3,20,23,115.0,0.0,1.0,116.0,300.0,81.0,0.0,9.0,144.0,0.0,56.0,91.0,0.0,2.0,0.0,6.0,0.0,1.0,1.0,49.0,27.0,,0.0,,0.0,9.0,0.0,75.0,23.0,0.0,8.0,56.0,9.0,2.0,250.0,12.0
1400000US17031020100,1,3,16,12,42.0,0.0,0.0,60.0,197.0,63.0,1.0,3.0,164.0,3.0,39.0,79.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,43.0,19.0,,1.0,,1.0,14.0,0.0,78.0,0.0,0.0,2.0,32.0,10.0,1.0,292.0,2.0
1400000US17031020200,1,2,17,5,87.0,0.0,3.0,60.0,138.0,100.0,0.0,7.0,159.0,2.0,60.0,110.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,59.0,12.0,,0.0,,0.0,9.0,0.0,79.0,2.0,0.0,2.0,28.0,8.0,0.0,331.0,10.0
1400000US17031020301,2,3,22,7,15.0,0.0,0.0,24.0,55.0,59.0,0.0,3.0,79.0,1.0,34.0,39.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,22.0,6.0,,0.0,,0.0,4.0,0.0,26.0,1.0,0.0,1.0,8.0,5.0,1.0,147.0,2.0
1400000US17031020302,1,3,20,8,36.0,0.0,1.0,67.0,142.0,97.0,0.0,3.0,136.0,1.0,25.0,90.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,41.0,8.0,,0.0,,1.0,14.0,0.0,84.0,0.0,0.0,4.0,19.0,6.0,1.0,233.0,7.0
1400000US17031020400,1,3,21,9,28.0,0.0,2.0,56.0,170.0,64.0,0.0,5.0,173.0,1.0,25.0,87.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,35.0,17.0,,0.0,,0.0,20.0,0.0,61.0,1.0,0.0,2.0,35.0,6.0,1.0,280.0,5.0
1400000US17031020500,2,4,26,11,77.0,0.0,6.0,123.0,312.0,61.0,0.0,9.0,177.0,0.0,34.0,83.0,0.0,4.0,0.0,4.0,2.0,2.0,1.0,66.0,45.0,,0.0,,1.0,22.0,0.0,110.0,0.0,1.0,8.0,63.0,8.0,1.0,308.0,12.0
1400000US17031020601,2,5,26,13,69.0,0.0,2.0,74.0,207.0,102.0,0.0,5.0,170.0,1.0,27.0,87.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,63.0,21.0,,0.0,,0.0,11.0,0.0,93.0,0.0,0.0,2.0,39.0,6.0,1.0,274.0,8.0
1400000US17031020602,2,5,29,14,73.0,0.0,1.0,45.0,153.0,77.0,0.0,3.0,125.0,0.0,21.0,77.0,0.0,3.0,0.0,1.0,1.0,1.0,3.0,54.0,17.0,,0.0,,2.0,11.0,0.0,57.0,0.0,0.0,3.0,44.0,12.0,0.0,243.0,2.0
1400000US17031020701,3,5,32,9,62.0,0.0,0.0,62.0,154.0,47.0,0.0,4.0,82.0,0.0,27.0,73.0,2.0,0.0,0.0,1.0,1.0,1.0,4.0,18.0,31.0,,0.0,,0.0,4.0,0.0,58.0,1.0,0.0,16.0,19.0,4.0,1.0,179.0,8.0
1400000US17031020702,2,4,28,10,69.0,0.0,0.0,91.0,287.0,114.0,0.0,4.0,206.0,0.0,36.0,115.0,1.0,4.0,0.0,1.0,0.0,0.0,3.0,66.0,31.0,,0.0,,0.0,10.0,0.0,104.0,0.0,0.0,11.0,32.0,3.0,1.0,317.0,14.0
1400000US17031020801,2,5,34,6,97.0,1.0,0.0,83.0,206.0,70.0,0.0,7.0,154.0,0.0,27.0,92.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,64.0,38.0,,0.0,,1.0,6.0,0.0,80.0,0.0,0.0,8.0,27.0,4.0,1.0,227.0,14.0
1400000US17031020802,2,5,33,10,171.0,0.0,0.0,118.0,353.0,146.0,2.0,9.0,248.0,2.0,43.0,127.0,1.0,3.0,0.0,7.0,0.0,3.0,5.0,106.0,88.0,,0.0,,0.0,20.0,0.0,122.0,0.0,0.0,10.0,83.0,16.0,0.0,409.0,22.0
1400000US17031020901,2,4,30,10,58.0,0.0,2.0,125.0,275.0,64.0,0.0,4.0,188.0,0.0,38.0,100.0,1.0,2.0,0.0,3.0,0.0,1.0,4.0,71.0,50.0,,0.0,,0.0,15.0,0.0,129.0,0.0,0.0,10.0,68.0,8.0,0.0,327.0,19.0
1400000US17031020902,2,4,29,10,38.0,0.0,1.0,61.0,179.0,35.0,0.0,5.0,136.0,3.0,21.0,65.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,46.0,32.0,,0.0,,0.0,12.0,0.0,78.0,0.0,0.0,3.0,40.0,8.0,0.0,333.0,15.0
