geo_id,B01001_001E,DP02_0002PE,DP02_0004PE,DP02_0006PE,DP02_0010PE,DP02_0014PE,DP02_0015PE,DP02_0016E,DP02_0017E,DP02_0022PE,DP02_0026PE,DP02_0030PE,DP02_0032PE,DP02_0036PE,DP02_0037PE,DP02_0044PE,DP02_0053PE,DP02_0054PE,DP02_0055PE,DP02_0056PE,DP02_0058PE,DP02_0060PE,DP02_0062PE,DP02_0065PE,DP02_0066PE,DP02_0067PE,DP02_0069PE,DP02_0072PE,DP02_0074PE,DP02_0076PE,DP02_0077PE,DP02_0080PE,DP02_0082PE,DP02_0084PE,DP02_0085PE,DP02_0086PE,DP02_0088PE,DP02_0093PE,DP02_0112PE,DP02_0114PE,DP02_0152PE,DP02_0153PE,DP03_0002PE,DP03_0004PE,DP03_0005PE,DP03_0013PE,DP03_0017PE,DP03_0021PE,DP03_0022PE,DP03_0024PE,DP03_0025E,DP03_0027PE,DP03_0028PE,DP03_0029PE,DP03_0030PE,DP03_0031PE,DP03_0045PE,DP03_0048PE,DP03_0063E,DP03_0064PE,DP03_0066PE,DP03_0068PE,DP03_0070PE,DP03_0072PE,DP03_0074PE,DP03_0096PE,DP03_0098PE,DP03_0099PE,DP03_0101PE,DP03_0119PE,DP03_0120PE,DP04_0002PE,DP04_0003PE,DP04_0048E,DP04_0049E,DP04_0058PE,DP04_0063PE,DP04_0064PE,DP04_0065PE,DP04_0066PE,DP04_0067PE,DP04_0068PE,DP04_0069PE,DP04_0073PE,DP04_0074PE,DP04_0075PE,DP04_0089E,DP04_0091PE,DP04_0092PE,DP04_0136PE,DP05_0003PE,DP05_0018E,DP05_0019PE,DP05_0024PE,DP05_0037PE,DP05_0038PE,DP05_0044PE,DP05_0058PE,DP05_0071PE,geometry
1400000US17031010100,4599.0,23.8,2.5,39.5,34.2,21.5,8.7,1.89,3.05,25.4,64.4,4.7,46.7,13.1,12.0,80.0,1054.0,17.2,8.4,33.8,25.7,1.7,18.1,29.4,18.6,88.3,3686.0,13.9,6.4,14.9,228.0,83.0,9.7,5.6,1.8,0.0,80.9,19.1,73.3,6.5,86.5,75.7,71.8,67.1,4.7,58.0,61.7,48.6,5.7,6.3,36.0,46.7,19.1,15.3,1.6,17.3,2.1,10.8,55297.0,78.0,9.0,5.7,12.1,3.6,20.3,92.1,37.3,7.9,2.0,26.5,42.4,89.8,10.2,2.08,1.83,48.7,72.7,2.3,20.9,0.0,0.0,0.0,0.0,0.0,0.5,1.6,252800.0,86.1,13.9,1764.0,48.0,35.6,19.9,6.0,46.7,45.2,1.0,3.4,11.4,"MULTIPOLYGON (((-87.677199 42.022942, -87.670073 42.022969, -87.6660606166899 42.0229300841594, -87.66592531555361 42.0226423850857, -87.66434321854591 42.0192782755457, -87.66824299999999 42.019214, -87.66949799999999 42.019364, -87.67133 42.019374, -87.67331 42.01938699999999, -87.677104 42.022552, -87.677199 42.022942)))"
1400000US17031010201,7455.0,33.7,7.2,28.3,30.8,28.2,14.9,2.65,3.5,34.5,55.3,8.4,42.4,12.4,135.0,43.0,2046.0,2.8,2.8,49.7,22.2,10.6,25.1,19.3,13.0,80.3,5543.0,12.6,1.5,15.3,509.0,71.2,12.9,3.0,1.5,11.4,62.5,37.5,62.2,21.8,89.9,76.1,58.6,56.8,1.8,48.0,25.8,29.0,3.6,6.4,40.5,38.0,20.8,20.7,3.8,16.7,2.2,12.7,53752.0,79.3,19.3,9.4,7.5,6.2,28.2,88.2,51.1,11.8,1.1,28.6,42.1,92.1,7.9,2.13,2.83,30.4,78.3,1.9,15.0,0.0,0.0,0.0,0.0,1.1,1.5,3.2,169700.0,70.6,29.4,1941.0,47.3,34.8,25.6,6.8,46.4,33.8,4.0,8.0,22.4,"MULTIPOLYGON (((-87.684653 42.019485, -87.680448 42.019447, -87.67685499999999 42.019411, -87.67653899999999 42.0179, -87.676018 42.015679, -87.67567799999999 42.012617, -87.68026999999999 42.012536, -87.682683 42.012497, -87.683086 42.01232299999999, -87.68368799999999 42.014035, -87.684083 42.015151, -87.684653 42.019485)))"
1400000US17031010202,2896.0,23.1,13.6,23.0,40.4,26.9,17.9,2.27,3.31,25.1,58.8,8.8,44.3,20.2,88.0,126.0,667.0,16.6,3.0,29.2,28.0,13.0,20.9,20.8,12.2,79.0,2309.0,12.7,3.4,8.3,242.0,80.2,13.2,0.0,2.8,3.8,64.0,36.0,51.2,22.1,90.0,80.9,63.2,59.5,3.7,60.4,69.8,42.8,2.7,3.9,34.2,36.1,22.1,23.3,4.3,14.2,2.5,9.5,51055.0,80.4,14.9,7.8,7.7,5.2,22.4,78.2,37.5,21.8,0.0,16.4,21.8,89.6,10.4,2.07,2.33,43.1,72.4,4.9,18.7,0.0,0.0,0.0,0.0,1.7,0.0,1.2,175200.0,66.8,33.2,853.0,52.5,35.0,20.3,13.1,46.7,33.9,5.4,1.4,26.0,"MULTIPOLYGON (((-87.67685499999999 42.019411, -87.673388 42.019381, -87.67331 42.01938699999999, -87.67133 42.019374, -87.67036399999999 42.018358, -87.670329 42.017056, -87.670312 42.015994, -87.670198 42.012714, -87.67567799999999 42.012617, -87.676018 42.015679, -87.67653899999999 42.0179, -87.67685499999999 42.019411)))"
1400000US17031010300,6485.0,25.3,7.4,25.2,42.1,17.0,18.7,1.8,2.79,20.0,49.6,10.3,39.4,21.0,126.0,0.0,1133.0,8.9,9.7,25.4,41.9,5.1,27.1,20.3,20.0,89.8,5542.0,11.2,2.9,11.0,668.0,84.1,10.9,1.0,3.1,0.8,78.4,21.6,70.3,9.6,93.3,84.8,61.9,59.0,2.9,49.8,28.1,33.1,3.2,6.1,36.3,41.2,20.7,22.6,7.3,8.3,3.2,9.7,64068.0,76.8,18.2,10.0,5.1,3.8,14.5,86.6,28.6,13.4,18.5,6.6,11.3,91.4,8.6,1.84,1.77,32.7,76.7,0.0,16.5,1.3,0.0,0.0,0.0,0.0,6.1,0.9,189500.0,69.6,30.4,1947.0,50.8,42.2,14.5,18.5,59.6,30.9,1.0,4.2,16.9,"MULTIPOLYGON (((-87.67133 42.019374, -87.66949799999999 42.019364, -87.66824299999999 42.019214, -87.66434321854591 42.0192782755457, -87.6633644216982 42.017197, -87.66235706692871 42.015055, -87.66132547261809 42.0128614579828, -87.66345299999999 42.01283, -87.66592399999999 42.012787, -87.66629399999999 42.01278, -87.670198 42.012714, -87.670312 42.015994, -87.670329 42.017056, -87.67036399999999 42.018358, -87.67133 42.019374)))"
1400000US17031010400,5213.0,17.4,5.7,36.4,40.5,12.5,10.7,1.82,2.93,16.8,75.1,8.5,72.4,8.3,14.0,0.0,2657.0,1.1,3.3,11.4,80.8,2.3,10.5,41.5,23.2,96.2,4657.0,8.2,2.5,7.2,259.0,66.7,11.3,5.7,13.8,2.5,88.5,11.5,85.8,5.6,89.2,81.0,59.7,55.5,4.2,52.4,84.7,39.5,15.7,9.1,35.6,53.0,18.7,21.4,1.6,5.3,2.5,8.1,54680.0,82.0,11.6,10.7,5.6,5.3,15.0,93.0,21.3,7.0,6.2,13.9,32.2,89.3,10.7,2.44,1.66,38.6,65.5,0.9,17.9,1.8,0.0,0.0,0.0,0.0,0.0,0.9,217000.0,68.5,31.5,1521.0,52.1,25.2,10.7,5.0,70.8,21.3,4.6,1.8,7.5,"MULTIPOLYGON (((-87.66345299999999 42.01283, -87.66132547261809 42.0128614579828, -87.661084 42.012348, -87.65832625756821 42.0080207256299, -87.657656 42.006969, -87.6568985961032 42.0042211832155, -87.6567953783635 42.0038467153274, -87.656296 42.002035, -87.65597770348259 42.0002279061199, -87.65562615009959 41.998232, -87.66055299999999 41.998189, -87.66071199999999 42.000439, -87.660783 42.002551, -87.660848 42.004532, -87.66085099999999 42.004617, -87.66088999999999 42.005386, -87.661295 42.006767, -87.661692 42.007979, -87.66208899999999 42.009183, -87.66248499999999 42.01040099999999, -87.66294599999999 42.011762, -87.66345299999999 42.01283)))"
1400000US17031010501,4102.0,21.3,3.9,35.1,39.8,10.6,16.8,1.72,2.77,13.6,56.0,5.2,51.6,8.6,83.0,0.0,681.0,2.8,2.5,14.0,67.5,1.0,17.8,33.0,23.4,96.5,3616.0,14.0,0.0,11.6,433.0,84.0,10.2,1.7,2.7,1.3,68.9,31.1,66.8,7.6,90.6,70.4,79.4,73.3,6.1,69.7,85.4,45.6,2.3,7.0,39.4,43.8,26.0,15.8,0.0,14.4,5.5,10.1,53975.0,80.1,18.7,5.4,5.4,4.8,18.9,88.5,24.3,11.5,0.0,18.8,6.0,89.0,11.0,2.11,1.66,47.1,77.3,0.6,12.8,0.0,0.0,0.0,0.0,0.0,0.0,2.7,306200.0,91.0,9.0,2053.0,52.7,34.0,11.8,10.6,49.7,33.8,6.2,3.4,9.4,"MULTIPOLYGON (((-87.66592399999999 42.012787, -87.66345299999999 42.01283, -87.66294599999999 42.011762, -87.66248499999999 42.01040099999999, -87.66208899999999 42.009183, -87.661692 42.007979, -87.661295 42.006767, -87.661869 42.006141, -87.66569699999999 42.006696, -87.66573699999999 42.007915, -87.665779 42.009128, -87.665818 42.010345, -87.66592399999999 42.012787)))"
1400000US17031010502,3089.0,16.2,8.8,35.3,39.6,14.3,10.0,1.93,3.07,18.5,60.2,9.7,61.1,13.7,59.0,0.0,1075.0,0.0,4.6,13.9,71.4,0.0,12.2,30.4,23.7,93.9,2616.0,10.8,0.0,9.9,166.0,74.5,17.5,2.0,3.8,2.2,78.1,21.9,70.5,8.9,88.1,77.1,76.3,73.8,2.5,70.0,66.4,40.0,16.5,7.5,35.6,45.1,19.4,27.1,2.5,5.9,0.5,4.9,51269.0,81.0,10.2,7.3,8.8,3.4,13.2,88.6,25.7,11.4,7.3,26.6,48.9,89.4,10.6,2.21,1.85,46.6,76.0,2.5,16.2,0.0,0.0,0.0,0.0,0.0,0.0,7.6,229700.0,66.7,33.3,1152.0,47.6,31.3,15.3,5.4,55.9,28.4,8.5,3.0,15.1,"MULTIPOLYGON (((-87.665735 42.005462, -87.66569699999999 42.006696, -87.661869 42.006141, -87.661295 42.006767, -87.66088999999999 42.005386, -87.66085099999999 42.004617, -87.660848 42.004532, -87.660783 42.002551, -87.665644 42.002421, -87.66568099999999 42.00362399999999, -87.665705 42.004459, -87.665735 42.005462)))"
1400000US17031010503,1806.0,12.7,5.1,33.8,48.3,6.7,44.8,1.7,2.66,8.1,54.1,11.5,54.4,10.6,39.0,0.0,578.0,4.7,3.5,6.6,85.3,11.6,21.6,16.3,20.0,80.9,1646.0,23.5,0.0,3.8,597.0,80.7,15.6,0.4,3.1,0.3,72.4,27.6,64.5,25.1,79.7,66.1,51.1,46.3,4.0,49.5,47.4,48.2,11.5,5.2,35.3,47.7,21.9,22.7,0.0,7.8,0.0,6.5,39671.0,56.0,40.4,8.2,11.7,6.2,33.8,97.0,44.0,3.0,0.0,28.8,28.2,81.5,18.5,1.42,1.76,52.8,65.3,2.1,27.1,0.8,0.0,0.0,0.0,0.0,1.7,2.3,303100.0,54.5,45.5,823.0,55.6,42.3,8.1,33.1,69.2,14.1,12.5,3.8,3.0,"MULTIPOLYGON (((-87.665644 42.002421, -87.660783 42.002551, -87.66071199999999 42.000439, -87.66055299999999 41.998189, -87.665436 41.998136, -87.66559599999999 42.00083, -87.665644 42.002421)))"
1400000US17031010600,6395.0,28.6,11.4,26.3,33.8,14.2,11.3,2.12,2.89,19.4,58.8,7.7,51.2,9.8,28.0,0.0,1730.0,7.3,3.5,27.0,45.0,5.9,15.3,27.1,25.1,90.3,5425.0,5.7,5.3,5.0,374.0,77.9,17.7,0.9,2.6,0.9,75.9,24.1,66.3,17.0,93.3,83.0,77.7,72.9,4.9,67.0,66.4,47.0,10.3,9.0,40.1,51.9,20.1,14.4,4.2,9.4,1.0,5.5,72799.0,85.9,13.1,5.7,6.8,2.4,13.9,79.5,23.2,20.5,18.3,16.6,33.3,88.6,11.4,2.33,2.06,44.5,88.0,1.1,6.4,0.0,0.0,0.0,0.0,0.0,4.8,4.8,232700.0,70.0,30.0,2286.0,49.5,32.9,15.2,7.2,61.1,17.8,3.2,3.2,24.0,"MULTIPOLYGON (((-87.670593 42.005374, -87.66994799999999 42.005385, -87.670035 42.007839, -87.670073 42.009049, -87.67011699999999 42.010274, -87.670159 42.01148999999999, -87.670198 42.012714, -87.66629399999999 42.01278, -87.66592399999999 42.012787, -87.665818 42.010345, -87.665779 42.009128, -87.66573699999999 42.007915, -87.66569699999999 42.006696, -87.665735 42.005462, -87.665705 42.004459, -87.66568099999999 42.00362399999999, -87.665644 42.002421, -87.66559599999999 42.00083, -87.665436 41.998136, -87.667962 41.998109, -87.668111 42.003587, -87.670543 42.003549, -87.670593 42.005374)))"
1400000US17031010701,3620.0,43.4,5.5,18.3,32.8,29.2,15.3,2.39,2.97,26.7,40.5,8.0,35.7,12.3,48.0,113.0,884.0,11.0,8.8,32.9,34.0,4.7,24.2,27.7,20.5,92.7,2863.0,7.1,0.0,6.5,348.0,85.1,13.0,1.2,0.8,0.0,70.5,29.5,59.0,19.7,92.9,86.1,80.9,77.8,3.1,78.6,88.6,22.6,5.5,7.4,32.6,35.2,29.5,18.1,6.0,11.1,4.0,11.7,81816.0,89.7,19.8,6.1,2.4,1.3,11.5,86.1,26.6,13.9,0.9,10.4,19.7,88.5,11.5,2.53,2.27,18.7,87.4,1.1,8.8,0.0,0.0,0.0,0.0,0.0,0.0,1.4,236100.0,71.8,28.2,751.0,49.3,36.4,20.9,9.6,57.0,23.5,8.6,4.4,26.0,"MULTIPOLYGON (((-87.682683 42.012497, -87.68026999999999 42.012536, -87.67567799999999 42.012617, -87.675406 42.011394, -87.67532799999999 42.008962, -87.67529399999999 42.007139, -87.67522699999999 42.005302, -87.680171 42.005206, -87.681161 42.00735, -87.68184199999999 42.008845, -87.682323 42.010157, -87.683086 42.01232299999999, -87.682683 42.012497)))"
