WKT,LPOLY,RPOLY,TNODE,LENGTH,RAILROAD_I,RAILROAD,FNODE
"LINESTRING (1098333.12 1946240.25,1098333.77 1946217.36,1098336.01 1946194.56,1098339.83 1946171.98,1098340.65 1946168.12,1098366.89 1946083.85,1098399.28 1946002.8,1098412.78 1945969.01,1098417.59 1945948.71,1098420.84 1945928.1,1098422.49 1945907.3,1098422.67 1945890.65,1098424.54 1945848.17)",,,13,406.35038,1200,1,10
"LINESTRING (1098206.09 1945727.93,1098205.49 1945845.18,1098204.66 1945947.91)",,,12,219.98489,1200,2,14
"LINESTRING (1162356.01 1951832.38,1162390.16 1951640.97,1162417.23 1951488.65,1162450.16 1951304.67)",,,3,536.04303,2446,32,2
"LINESTRING (1169662.8 1892647.6,1169641.2 1892653.6)",,,1913,22.41785,3698,90,1917
"LINESTRING (1139334.56 1860000.0,1139331.4 1860083.6,1139326.0 1860246.2,1139321.8 1860337.4)",,,4520,337.64596,3698,170,4595
"LINESTRING (1140015.88 1860000.0,1140013.2 1860077.6,1140007.4 1860206.0)",,,4540,206.17723,3692,171,4597
"LINESTRING (1141716.98 1860000.0,1141716.6 1860012.2,1141716.6 1860059.0,1141708.4 1860269.6,1141702.0 1860463.8)",,,4510,464.07087,3692,172,4602
"LINESTRING (1142072.86 1860000.0,1142083.6 1860013.4,1142122.2 1860062.8,1142179.4 1860134.2)",,,4555,171.35339,3692,174,4604
"LINESTRING (1142208.4 1860169.4,1142276.6 1860256.8)",,,4532,110.86027,3698,175,4549
"LINESTRING (1162872.76 1857737.21,1162872.78 1857595.91)",,,4756,141.3,3698,177,4748
"LINESTRING (1149450.97 1902549.84,1149403.14 1902573.58,1149310.58 1902612.77,1149188.39 1902657.44,1149024.4 1902718.76,1148940.91 1902748.61)",,,984,547.76281,2446,826,1089
"LINESTRING (1159380.0 1902846.72,1159381.61 1902846.24)",,,946,1.67518,2446,1027,945
"LINESTRING (1158397.09 1902827.15,1158481.39 1902845.56)",,,947,86.28243,2446,1033,952
"LINESTRING (1169893.07 1903191.37,1169893.05 1903191.37,1169793.84 1903189.21,1169723.89 1903187.75)",,,863,169.21105,2446,1132,861
"LINESTRING (1171905.74 1903233.5,1171905.4 1903233.53)",,,826,0.34511,2446,1172,827
"LINESTRING (1172830.77 1902212.37,1172840.94 1902153.77)",,,1214,59.48158,2446,1367,1210
"LINESTRING (1173118.52 1902252.4,1173150.42 1902204.04,1173199.79 1902132.94)",,,1215,144.49275,2446,1368,1204
